id,moreConnectionWithFamilyCloseFriendsOrRelatives,healthIssueDuringLockdown,,Does The Connection With Others Affect The Health Issue?,,,,,,
R534,TRUE,FALSE,,No,,,,,,
R535,TRUE,FALSE,,No,,,,,,
R536,FALSE,FALSE,,Yes,,,,,,
R537,TRUE,FALSE,,No,,,,,,
R538,TRUE,FALSE,,No,,,,,,
R539,TRUE,FALSE,,No,,,,,,
R540,TRUE,FALSE,,No,,,,,,
R541,TRUE,FALSE,,No,,,,,,
R542,TRUE,FALSE,,No,,,,,,
R543,TRUE,FALSE,,No,,,,,,
R544,TRUE,FALSE,,No,,,,,,
R545,TRUE,FALSE,,No,,,,,,
R546,TRUE,FALSE,,No,,,,,,
R547,TRUE,FALSE,,No,,,,,,
R548,TRUE,FALSE,,No,,,,,,
R549,FALSE,FALSE,,Yes,,,,,,
R550,TRUE,FALSE,,No,,,,,,
R551,FALSE,TRUE,,No,,,,,,
R552,TRUE,FALSE,,No,,,,,,
R553,TRUE,FALSE,,No,,,,,,
R554,TRUE,FALSE,,No,,,,,,
R555,TRUE,FALSE,,No,,,,,,
R556,FALSE,FALSE,,Yes,,,,,,
R557,TRUE,TRUE,,Yes,,,,,,
R558,TRUE,FALSE,,No,,,,,,
R559,FALSE,TRUE,,No,,,,,,
R560,TRUE,FALSE,,No,,,,,,
R561,TRUE,FALSE,,No,,,,,,
R562,FALSE,FALSE,,Yes,,,,,,
R563,TRUE,FALSE,,No,,,,,,
R564,TRUE,FALSE,,No,,,,,,
R565,TRUE,FALSE,,No,,,,,,
R566,FALSE,FALSE,,Yes,,,,,,
R567,FALSE,TRUE,,No,,,,,,
R568,FALSE,FALSE,,Yes,,,,,,
R569,TRUE,FALSE,,No,,,,,,
R570,TRUE,FALSE,,No,,,,,,
R571,FALSE,FALSE,,Yes,,,,,,
R572,TRUE,FALSE,,No,,,,,,
R573,TRUE,FALSE,,No,,,,,,
R574,TRUE,FALSE,,No,,,,,,
R575,TRUE,TRUE,,Yes,,,,,,
R576,FALSE,FALSE,,Yes,,,,,,
R577,TRUE,FALSE,,No,,,,,,
R578,TRUE,TRUE,,Yes,,,,,,
R579,TRUE,FALSE,,No,,,,,,
R580,FALSE,FALSE,,Yes,,,,,,
R581,TRUE,FALSE,,No,,,,,,
R582,TRUE,FALSE,,No,,,,,,
R583,TRUE,FALSE,,No,,,,,,
R584,TRUE,FALSE,,No,,,,,,
R585,FALSE,FALSE,,Yes,,,,,,
R586,FALSE,FALSE,,Yes,,,,,,
R587,TRUE,FALSE,,No,,,,,,
R588,TRUE,FALSE,,No,,,,,,
R589,TRUE,FALSE,,No,,,,,,
R590,TRUE,FALSE,,No,,,,,,
R591,TRUE,FALSE,,No,,,,,,
R592,TRUE,FALSE,,No,,,,,,
R593,TRUE,FALSE,,No,,,,,,
R594,FALSE,FALSE,,Yes,,,,,,
R595,FALSE,FALSE,,Yes,,,,,,
R596,TRUE,FALSE,,No,,,,,,
