id,timeSpentOnOnlineClass,timeSpentOnSelfStudy,timeSpentOnOnlineClass&SelfStudy,,timeSpentOnSocialMedia,timeSpentOnTv,timeSpentOnSocialMedia&Tv,,,,The Difference Between The Time Spent On Study And Leisure Activities
R562,3,0,3,,2,2,4,,,,-1
R563,3,1,4,,2,0,2,,,,2
R564,2,1,3,,7,0,7,,,,-4
R565,1,3,4,,3,1,4,,,,0
R566,3,2,5,,1,1,2,,,,3
R567,2,8,10,,1,0,1,,,,9
R568,4,4,8,,3,1,4,,,,4
R569,8,8,16,,2,1,3,,,,13
R570,8,2,10,,1,0,1,,,,9
R571,2,0,2,,1,3,4,,,,-2
R572,4,4,8,,6,6,12,,,,-4
R573,2,0,2,,1,0,1,,,,1
R574,0,1,1,,3,2,5,,,,-4
R575,0,0,0,,3,2,5,,,,-5
R576,2,1,3,,3,2,5,,,,-2
R577,2,2,4,,1.5,1,2.5,,,,1.5
R578,3,0,3,,6,0,6,,,,-3
R579,4,4,8,,2,2,4,,,,4
R580,0,2,2,,2,1,3,,,,-1
R581,4,1,5,,1,1,2,,,,3
R582,6,4,10,,1,2,3,,,,7
R583,2,1,3,,1,1,2,,,,1
R584,0.75,4,4.75,,1,0.3,1.3,,,,3.45
R585,3,1,4,,3,2,5,,,,-1
R586,3,2,5,,2,2,4,,,,1
R587,4,3,7,,1,0,1,,,,6
R588,0,2,2,,0.5,0,0.5,,,,1.5
R589,6,3,9,,1,6,7,,,,2
R590,2,0.5,2.5,,1,0,1,,,,1.5
R591,3,2,5,,2,0,2,,,,3
R592,4,3,7,,3,2,5,,,,2
R593,2,1,3,,4,0,4,,,,-1
R594,2,0.5,2.5,,1,1,2,,,,0.5
R595,5,8,13,,0.4,0,0.4,,,,12.6
R596,2,3,5,,2,3,5,,,,0
R597,6,8,14,,2,0,2,,,,12
R598,4,2,6,,3,4,7,,,,-1
R599,1,2,3,,2,3,5,,,,-2
R600,3,6,9,,3,1,4,,,,5
R601,5,3,8,,3,0,3,,,,5
R602,1,2,3,,3,0,3,,,,0
R603,5,2,7,,1,2,3,,,,4
R604,4,2,6,,4,1,5,,,,1
R605,0,2,2,,2,0,2,,,,0
R606,1,8,9,,2,2,4,,,,5
R608,6,3,9,,4,1,5,,,,4
R609,4,3,7,,2,1,3,,,,4
R610,1,10,11,,1,0,1,,,,10
R611,0,4,4,,4,0,4,,,,0
R612,4,1,5,,1,0.5,1.5,,,,3.5
